GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201002,river nile,73.64004,73.6 [54.5-98.9],54.45679,98.87426
AIR_43,Ambient air pollution attributable DALYs,,2012,2012,2012,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,6272.16797,6272,,
itnch,Children aged < 5 years sleeping under insecticide-treated nets (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE06,Decile 6,,No data,,
csection,Births by caesarean section (in the two or three years preceding the survey) (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE08,Decile 8,9.24322,9.2 [6.1-13.7],6.13324,13.70003
vpolio,Polio immunization coverage among one-year-olds (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE07,Decile 7,67.30998,67.3 [59.5-74.3],59.48509,74.27711
SA_0000001400_ARCHIVED,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",,2007,2007,2007,EMR,Eastern Mediterranean,SDN,Sudan,ALCOHOLTYPE,ALCOHOLTYPE_SA_OTHER_ALCOHOL,Other alcoholic beverages,1.64,1.64,,
vita,Children aged 6-59 months who received vitamin A supplementation (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201418,east darfur,62.04877,62.0 [54.5-69.0],54.52079,69.03831
SA_0000001749_ARCHIVED,"Alcohol, total (recorded 3 year average + unrecorded) per capita (15+) consumption (in litres of pure alcohol) with 95%CI",,2010,2008,2010,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_BTSX,Both sexes,2.7,2.7 [2.3-3.1],2.3,3.1
cpmowho,Contraceptive prevalence - use of modern methods (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,EDUCATIONLEVEL,EDUCATIONLEVEL_PRLM,Primary,9.80276,9.8 [8.6-11.1],8.60827,11.1428
overwgt5,Overweight prevalence in children aged <five years (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHQUINTILE,WEALTHQUINTILE_WQ1,Q1 (Poorest),1.429,1.4 [1.0-2.0],1.00436,2.02949
SA_0000001400_ARCHIVED,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",,1984,1984,1984,EMR,Eastern Mediterranean,SDN,Sudan,ALCOHOLTYPE,ALCOHOLTYPE_SA_OTHER_ALCOHOL,Other alcoholic beverages,0.0,0.00,,
vpolio,Polio immunization coverage among one-year-olds (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,EDUCATIONLEVEL,EDUCATIONLEVEL_SHLM,Secondary or higher,85.70067,85.7 [81.8-88.9],81.83576,88.85522
SA_0000001416,"Alcohol, heavy episodic drinking (15+), drinkers only, past 30 days (%), age-standardized",,2012,2012,2012,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,5.6751,5.7 [4.4 - 6.5],4.43339,6.50681
NTD_YAWSNUM_SUSP,Number of suspected yaws cases reported,,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,,,,,No data,,
FAMILYPLANNINGUNPDUHC,"Women of reproductive age (15âˆ’49 years) who are married or in-union who have their need for family planning satisfied with modern methods (%), UNPD",,2018,2018,2018,EMR,Eastern Mediterranean,SDN,Sudan,,,,32.30333,32.3,,
TB_hiv_cpt_pct,HIV-positive TB patients on CPT (co-trimoxazole preventive therapy) (%),,2011,2011,2011,EMR,Eastern Mediterranean,SDN,Sudan,,,,0.0,0,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),,2016,2016,2016,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,674.9994,675.0 [368.2-1143.9],368.167,1143.938
u5mr,Under-five mortality rate (deaths per 1000 live births),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201001,northern,69.27607,69.3 [52.3-86.3],52.25227,86.29987
W24_exp_date_B,Other smoked tobacco packaging and labelling must not display expiry dates,,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,,,,,No,,
TB_notif_num,Number of people notified with new episode of TB in a given year,,2020,2020,2020,EMR,Eastern Mediterranean,SDN,Sudan,TB_CASETYPE,TB_CASETYPE_TB_CASETYPE_CDPTB,Clinically diagnosed pulmonary TB,4578.0,4578,,
cpmt,Contraceptive prevalence - modern and traditional methods (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE05,Decile 5,4.09627,4.1 [3.0-5.5],3.0357,5.50634
NUT_BF_CBF,Continued breastfeeding 12-23 months,,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,70.9,70.9 [66.8-74.7],66.8,74.7
ort,Children aged < 5 years with diarrhoea receiving oral rehydration therapy and continued feeding (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,Rural,59.71959,59.7 [56.9-62.4],56.93036,62.44733
W24_exp_date_A,Cigarette packaging and labelling must not display expiry dates,,2008,2008,2008,EMR,Eastern Mediterranean,SDN,Sudan,,,,,No,,
TB_new_ep,New cases: extrapulmonary,,2009,2009,2009,EMR,Eastern Mediterranean,SDN,Sudan,,,,5530.0,5530,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),,2011,2011,2011,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,,No data,,
NCD_BMI_MEAN,Mean BMI (kg/m²) (age-standardized estimate),,1988,1988,1988,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,,No data,,
R_Curr_lowest_cost,Cheapest brand of cigarettes - currency reported,,2020,2020,2020,EMR,Eastern Mediterranean,SDN,Sudan,,,,,SDG,,
ort,Children aged < 5 years with diarrhoea receiving oral rehydration therapy and continued feeding (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE05,Decile 5,53.93574,53.9 [48.0-59.8],48.00549,59.75663
stunt5,Stunting prevalence in children aged < 5 years (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201410,blue nile,,No data,,
SA_0000001553,Restrictions on alcohol use in public places,,2016,2016,2016,EMR,Eastern Mediterranean,SDN,Sudan,PUBLICPLACE,PUBLICPLACE_SA_PUBLIC_TRANSPORT,Public transport,,ban,,
Rev_curr,Annual tax revenues - currency,,2017,2017,2017,EMR,Eastern Mediterranean,SDN,Sudan,,,,,SDG,,
NCD_HYP_TREATMENT_A,"Prevalence of treatment (taking medicine) for hypertension among adults aged 30-79 with hypertension, age-standardized",,2001,2001,2001,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,7.9,7.9 [2.8-16.1],2.8,16.1
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),,2006,2006,2006,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,,No data,,
wast5,Wasting prevalence in children aged < 5 years (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201402,river nile,,No data,,
SA_0000001400_ARCHIVED,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",,1989,1989,1989,EMR,Eastern Mediterranean,SDN,Sudan,ALCOHOLTYPE,ALCOHOLTYPE_SA_BEER,Beer,0.0,0.00,,
FINPROTECTION_IMP_PG_310_STD,"Increase in poverty gap due to household health expenditures, expressed as a proportion of the $3.20 a-day poverty line (%, national, rural, urban)",,2009,2009,2009,EMR,Eastern Mediterranean,SDN,Sudan,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,2.01,2.01,,
MALARIA_ITN_COVERAGE,"Population with access to an insecticide-treated bed net (ITN) for malaria protection (%), modelled",,2000,2000,2000,EMR,Eastern Mediterranean,SDN,Sudan,,,,2.70117,2.70,,
VIOLENCE_HOMICIDERATE,Estimates of rates of homicides per 100 000 population,,2011,2011,2011,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,3.2228,3.2 [2.3-4.8],2.31847,4.75052
SA_0000001511,Advertising restrictions in print media,,2016,2016,2016,EMR,Eastern Mediterranean,SDN,Sudan,ADVERTISINGTYPE,ADVERTISINGTYPE_SA_BEER_ADS,Beer Ads,,ban,,
ort,Children aged < 5 years with diarrhoea receiving oral rehydration therapy and continued feeding (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE08,Decile 8,12.12318,12.1 [7.9-18.1],7.9279,18.10206
NUT_CF_MMF,Minimum Meal Frequency 6-23 months,,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,HOUSEHOLDWEALTH,HOUSEHOLDWEALTH_TOTL,Total,29.4,29.4 [27.5-31.4],27.5,31.4
TB_notif_num,Number of people notified with new episode of TB in a given year,,2009,2009,2009,EMR,Eastern Mediterranean,SDN,Sudan,TB_CASETYPE,TB_CASETYPE_TB_CASETYPE_EPTB,Extrapulmonary TB,5530.0,5530,,
E13_brand_placement,Ban on appearance of tobacco brands in TV and/or films (product placement),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,,,,,Yes,,
ORAL_HEALTH_CANCER_LIPORALCAVITY_NEWCASE_NUMBER,Number of new cases of lip and oral cavity cancer,,2020,2020,2020,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,257.0,257,,
nmr,Neonatal mortality rate (deaths per 1000 live births),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201413,west kordofan,32.33422,32.3 [21.4-43.3],21.40458,43.26386
NUTRITION_ANAEMIA_PREGNANT_PREV,Prevalence of anaemia in pregnant women (aged 15-49) (%),,2004,2004,2004,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,41.2,41.2 [24.8-53.9],24.8,53.9
SA_0000001450,"Age-standardized death rates, poisoning, per 100,000",,2004,2004,2004,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,6.1,6.1,,
anc45,Antenatal care coverage - at least four visits (in the five years preceding the survey) (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201415,west darfur,,No data,,
sevwast5,Severe wasting prevalence in children aged < 5 years (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHQUINTILE,WEALTHQUINTILE_WQ3,Q3,,No data,,
NTD_RAB2,Reported number of human rabies deaths,,2013,2013,2013,EMR,Eastern Mediterranean,SDN,Sudan,,,,2.0,2,,
NUT_BF_EBF2D,Exclusively breastfed for the first two days after birth,,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,HOUSEHOLDWEALTH,HOUSEHOLDWEALTH_WEALTH_BOTTOM40,Wealth - Bottom 40%,71.5,71.5 [68.6-74.2],68.6,74.2
NCD_HYP_CONTROL_A,"Prevalence of controlled hypertension among adults aged 30-79 years with hypertension, age-standardized",,2004,2004,2004,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,3.1,3.1 [0.7-7.9],0.7,7.9
vfull,Full immunization coverage among one-year-olds (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201418,east darfur,53.25519,53.3 [43.5-62.8],43.46982,62.7964
SA_0000001756,"15-19 years old heavy episodic drinkers (drinkers only), %",,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,1.1,1.1,,
ors,Children aged < 5 years with diarrhoea receiving oral rehydration salts (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201407,gezira,15.21827,15.2 [9.3-24.0],9.26146,23.99332
fps,Demand for family planning satisfied - modern and traditional methods (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE07,Decile 7,26.88319,26.9 [22.3-32.1],22.25316,32.07908
NUT_CF_MMF,Minimum Meal Frequency 6-23 months,,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,32.5,32.5 [28.6-36.7],28.6,36.7
cpmowho,Contraceptive prevalence - use of modern methods (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE01,Decile 1 (poorest),0.95125,1.0 [0.4-2.2],0.41406,2.17019
itnch,Children aged < 5 years sleeping under insecticide-treated nets (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201413,west kordofan,,No data,,
NUTOVERWEIGHTPREV,"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), model-based estimates",,2006,2006,2006,EMR,Eastern Mediterranean,SDN,Sudan,,,,3.3,3.3 [2.6-4.1],2.6,4.1
SA_0000001400_ARCHIVED,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",,1971,1971,1971,EMR,Eastern Mediterranean,SDN,Sudan,ALCOHOLTYPE,ALCOHOLTYPE_SA_BEER,Beer,1.51,1.51,,
TB_new_ep,New cases: extrapulmonary,,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,,,,6217.0,6217,,
SA_0000001400_ARCHIVED,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",,2000,2000,2000,EMR,Eastern Mediterranean,SDN,Sudan,ALCOHOLTYPE,ALCOHOLTYPE_SA_WINE,Wine,0.0,0.00,,
tfr,Total fertility rate (per woman),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE07,Decile 7,5.45518,5.5 [5.0-6.0],4.95103,6.01035
vbcg,BCG immunization coverage among one-year-olds (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE08,Decile 8,94.21879,94.2 [88.2-97.3],88.17519,97.2692
tfr,Total fertility rate (per woman),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,EDUCATIONLEVEL,EDUCATIONLEVEL_PRLM,Primary,5.82349,5.8 [5.5-6.1],5.52603,6.13686
imr,Infant mortality rate (deaths per 1000 live births),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE09,Decile 9,36.52818,36.5 [25.9-47.2],25.85911,47.19725
NCD_HYP_PREVALENCE_A,"Prevalence of hypertension among adults aged 30-79 years, age-standardized",,1990,1990,1990,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,37.6,37.6 [22.5-54.3],22.5,54.3
nmr,Neonatal mortality rate (deaths per 1000 live births),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201416,south darfur,34.56251,34.6 [25.8-43.4],25.76251,43.36252
SA_0000001416,"Alcohol, heavy episodic drinking (15+), drinkers only, past 30 days (%), age-standardized",,2013,2013,2013,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,6.6405,6.6 [5.0 - 7.8],5.00155,7.81806
NTD_LEISHCNUM,Number of cases of cutaneous leishmaniasis reported,,2012,2012,2012,EMR,Eastern Mediterranean,SDN,Sudan,,,,206.0,206,,
NUT_CF_MDD,Minimum dietary diversity 6-23 months,,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,23.8,23.8 [21.1-26.8],21.1,26.8
sevwast5,Severe wasting prevalence in children aged < 5 years (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201404,kassala,,No data,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),,2000,2000,2000,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,,No data,,
IHRSPAR2_C02,"IHR Coordination, National IHR Focal Point functions and advocacy",,2023,2023,2023,EMR,Eastern Mediterranean,SDN,Sudan,,,,67.0,67,,
vmsl,Measles immunization coverage among one-year-olds (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201002,river nile,71.03909,71.0 [60.3-79.9],60.28388,79.85505
nmr,Neonatal mortality rate (deaths per 1000 live births),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201009,sinnar,26.66199,26.7 [16.2-37.1],16.20096,37.12301
vdpt,DTP3 immunization coverage among one-year-olds (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201414,north darfur,66.72454,66.7 [54.1-77.3],54.07549,77.349
MDG_0000000017,Deaths due to tuberculosis among HIV-negative people (per 100 000 population),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,,,,26.0,26 [13-44],13.0,44.0
TOB_R_PRICE,Retail price for tobacco and nicotine products,,2022,2022,2022,EMR,Eastern Mediterranean,SDN,Sudan,TOBACCO_NICOTINE_PRODUCT,TOBACCO_NICOTINE_PRODUCT_TOBACCO_OTHERSMOKED_MOSTSOLD,Most sold brand of other smoked tobacco,,,,
MALARIA_EST_CASES,Estimated number of malaria cases,,2001,2001,2001,EMR,Eastern Mediterranean,SDN,Sudan,,,,2326967.0,2 326 967 [1 516 000-3 408 000],1516000.0,3408000.0
carep,Children aged < 5 years with pneumonia symptoms taken to a health facility (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHQUINTILE,WEALTHQUINTILE_WQ2,Q2,45.35726,45.4 [40.4-50.5],40.35269,50.45745
TB_notif_num,Number of people notified with new episode of TB in a given year,,2012,2012,2012,EMR,Eastern Mediterranean,SDN,Sudan,TB_CASETYPE,TB_CASETYPE_TB_CASETYPE_EPTB,Extrapulmonary TB,4561.0,4561,,
vita,Children aged 6-59 months who received vitamin A supplementation (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,,No data,,
NCD_HYP_PREVALENCE_A,"Prevalence of hypertension among adults aged 30-79 years, age-standardized",,2003,2003,2003,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_MLE,Male,40.2,40.2 [29.5-52.2],29.5,52.2
R_Price_premium_usd,Premium brand of cigarettes - price in US$ at official exchange rates,,2020,2020,2020,EMR,Eastern Mediterranean,SDN,Sudan,,,,1.27,1.27,,
NCD_HYP_CONTROL_A,"Prevalence of controlled hypertension among adults aged 30-79 years with hypertension, age-standardized",,2017,2017,2017,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_BTSX,Both sexes,6.9,6.9 [3.6-11.4],3.6,11.4
CHILDDEATH5TO14,Number of deaths among children 5 to 14 years of age,,2001,2001,2001,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,6247.0,6247 [5214-7539],5214.0,7539.0
SA_0000001400_ARCHIVED,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",,1993,1993,1993,EMR,Eastern Mediterranean,SDN,Sudan,ALCOHOLTYPE,ALCOHOLTYPE_SA_WINE,Wine,0.0,0.00,,
stunt5,Stunting prevalence in children aged < 5 years (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE03,Decile 3,,No data,,
anc15,Antenatal care coverage - at least one visit (in the five years preceding the survey) (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201418,east darfur,,No data,,
TB_rdst_num_prct,The number of people with susceptibility test result for rifampicin among bacteriologically confirmed pulmonary TB patients expressed as percentage.,,2017,2017,2017,EMR,Eastern Mediterranean,SDN,Sudan,TB_TREATHISTORY,TB_TREATHISTORY_TB_TREATHISTORY_NEW,New TB,4.29058,4.3,,
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),,1992,1992,1992,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_BTSX,Both sexes,34.30418,34.3 [25.0-44.9],24.97421,44.90106
TB_conf_mdr_tx_pct,Confirmed cases of MDR-TB started treatment for MDR-TB (%),,2012,2012,2012,EMR,Eastern Mediterranean,SDN,Sudan,,,,49.0,49,,
SA_0000001400_ARCHIVED,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",,1971,1971,1971,EMR,Eastern Mediterranean,SDN,Sudan,ALCOHOLTYPE,ALCOHOLTYPE_SA_WINE,Wine,0.0,0.00,,
CHILDDEATH5TO14,Number of deaths among children 5 to 14 years of age,,2009,2009,2009,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_BTSX,Both sexes,9923.0,9923 [8079-12 339],8079.0,12339.0
FINPROTECTION_IMP_PG_190_STD,"Increase in poverty gap due to household  health expenditures, expressed as a proportion of the $1.90 a-day poverty line (%)",,2009,2009,2009,EMR,Eastern Mediterranean,SDN,Sudan,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,0.87,0.87,,
CHILDMORT_DEATHS_10TO14,Number of deaths among children ages 10 to 14 years,,2003,2003,2003,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,1668.0,1 668 [570-2 943],570.0,2943.0
NUT_BF_EVBF,Ever breastfed,,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,Total,98.4,98.4 [97.9-98.8],97.9,98.8
stunt5,Stunting prevalence in children aged < 5 years (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,DHSMICSGEOREGION,DHSMICSGEOREGION_SDNMICS201005,gadarif,,No data,,
P9_all_other,National smoking ban in ALL OTHER INDOOR PUBLIC PLACES,,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,,,,,Not applicable,,
TB_c_lab_dst_5m,Laboratories providing drug susceptibility testing (DST) (per 5 million population),,2007,2007,2007,EMR,Eastern Mediterranean,SDN,Sudan,,,,0.1,0.1,,
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),,1993,1993,1993,EMR,Eastern Mediterranean,SDN,Sudan,,,,1100.82215,1 101 [778-1 488],777.84812,1488.47608
NCD_HYP_CONTROL_A,"Prevalence of controlled hypertension among adults aged 30-79 years with hypertension, age-standardized",,1994,1994,1994,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_BTSX,Both sexes,1.6,1.6 [0.4-4.6],0.4,4.6
anc4,Antenatal care coverage - at least four visits (in the two or three years preceding the survey) (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE01,Decile 1 (poorest),29.46294,29.5 [23.8-35.8],23.82197,35.81171
TB_ret_taf,Retreatment cases: treatment after failure (pulmonary smear and/or culture positive),,1996,1996,1996,EMR,Eastern Mediterranean,SDN,Sudan,,,,0.0,0,,
TOB_R_PRICE,Retail price for tobacco and nicotine products,,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,TOBACCO_NICOTINE_PRODUCT,TOBACCO_NICOTINE_PRODUCT_CIGARETTE_MOSTSOLD,Most sold brand of cigarettes (20 sticks),2.46,2.46,,
ort,Children aged < 5 years with diarrhoea receiving oral rehydration therapy and continued feeding (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE09,Decile 9,63.27726,63.3 [56.2-69.8],56.18515,69.83766
vdpt,DTP3 immunization coverage among one-year-olds (%),,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,EDUCATIONLEVEL,EDUCATIONLEVEL_SHLM,Secondary or higher,75.24391,75.2 [69.6-80.2],69.574,80.15854
W24_exp_date_A,Cigarette packaging and labelling must not display expiry dates,,2022,2022,2022,EMR,Eastern Mediterranean,SDN,Sudan,,,,,No,,
vdpt,DTP3 immunization coverage among one-year-olds (%),,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,SEX,SEX_FMLE,Female,73.9912,74.0 [70.3-77.3],70.34386,77.33449
